File	Package
/epoc32/data/z/private/10003a3f/import/apps/analogclock_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/animatedtiles_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/anomaly_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/clock_reg.rsc	app/organizer
/epoc32/data/z/private/10003a3f/import/apps/collidingmice_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/deform_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/fluidlauncher_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/fmradio_reg.rsc	app/radio
/epoc32/data/z/private/10003a3f/import/apps/fridgemagnets_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/glx_reg.rsc	app/photos
/epoc32/data/z/private/10003a3f/import/apps/glxivwr_reg.rsc	app/photos
/epoc32/data/z/private/10003a3f/import/apps/imagegestures_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/masterdetail_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/moveblocks_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/pathstroke_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/previewer_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/qftp_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/saxbookmarks_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/star_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/states_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/stickman_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/svgviewer_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/import/apps/wiggly_reg.rsc	mw/qt
/epoc32/data/z/private/10003a3f/reccaf/reccafmimetypes.txt	os/security
/epoc32/data/z/private/10003a4a/sennotifierplugindlgimpl.rsc	mw/websrv
/epoc32/data/z/private/10003a5b/backup_registration.xml	app/organizer
/epoc32/data/z/private/10003b20/9.2_tactilefeedbacklevel1_a.ivt	mw/hapticsservices
/epoc32/data/z/private/10003b20/9.2_tactilefeedbacklevel2_a.ivt	mw/hapticsservices
/epoc32/data/z/private/10003b20/9.2_tactilefeedbacklevel3_a.ivt	mw/hapticsservices
/epoc32/data/z/private/1000484b/backup_registration.xml	mw/messagingmw
/epoc32/data/z/private/1000484b/msgcache.ini	mw/messagingmw
/epoc32/data/z/private/100048aa/backup_registration.xml	os/ossrv
/epoc32/data/z/private/10005399/backup_registration.xml	os/ossrv
/epoc32/data/z/private/100056cf/backup_registration.xml	app/screensaver
/epoc32/data/z/private/100058ca/backup_registration.xml	app/voicerec
/epoc32/data/z/private/100058cd/backup_registration.xml	app/messaging
/epoc32/data/z/private/100058db/backup_registration.xml	app/messaging
/epoc32/data/z/private/100058eb/backup_registration.xml	app/messaging
/epoc32/data/z/private/100058ec/backup_registration.xml	mw/gsprofilesrv
/epoc32/data/z/private/100058f4/backup_registration.xml	mw/appsupport
/epoc32/data/z/private/100058f8/backup_registration.xml	mw/gsprofilesrv
/epoc32/data/z/private/10005901/backup_registration.xml	app/organizer
/epoc32/data/z/private/10005901/solaritems	app/organizer
/epoc32/data/z/private/10005902/backup_registration.xml	app/utils
/epoc32/data/z/private/10005903/backup_registration.xml	app/organizer
/epoc32/data/z/private/10005906/backup_registration.xml	app/organizer
/epoc32/data/z/private/10005907/backup_registration.xml	app/organizer
/epoc32/data/z/private/10005a32/backup_registration.xml	mw/classicui
/epoc32/data/z/private/100069cc/backup_registration.xml	os/bt
/epoc32/data/z/private/10008d38/backup_registration.xml	mw/web
/epoc32/data/z/private/10008d38/bookmarkimportsample.txt	mw/web
/epoc32/data/z/private/10008d39/backup_registration.xml	app/webuis
/epoc32/data/z/private/1000a859/backup_registration.xml	mw/phonesrv
/epoc32/data/z/private/1000a86c/backup_registration.xml	app/phone
/epoc32/data/z/private/101f401d/backup_registration.xml	os/persistentdata
/epoc32/data/z/private/101f401d/logserv.rsc	os/persistentdata
/epoc32/data/z/private/101f413c/backup_registration.xml	mw/ipappprotocols
/epoc32/data/z/private/101f4cce/backup_registration.xml	app/contacts
/epoc32/data/z/private/101f4cd2/backup_registration.xml	app/homescreen
/epoc32/data/z/private/101f4cd2/import/suites/foldersuite_touch/items.xml	app/homescreen
/epoc32/data/z/private/101f4cd2/import/suites/foldersuite_touch/suite.xml	app/homescreen
/epoc32/data/z/private/101f4cd5/backup_registration.xml	app/contacts
/epoc32/data/z/private/101f4cd6/backup_registration.xml	app/messaging
/epoc32/data/z/private/101f5027/alarmserver.rsc	mw/appsupport
/epoc32/data/z/private/101f5027/backup_registration.xml	mw/appsupport
/epoc32/data/z/private/101f51f2/backup_registration.xml	mw/drm
/epoc32/data/z/private/101f6cfe/backup_registration.xml	mw/ipconnmgmt
/epoc32/data/z/private/101f6de5/backup_registration.xml	app/devicecontrol
/epoc32/data/z/private/101f7988/backup_registration.xml	os/commsfw
/epoc32/data/z/private/101f7988/c32.cmi	os/commsfw
/epoc32/data/z/private/101f7988/c32_first.cmi	os/commsfw
/epoc32/data/z/private/101f7988/c32_fourth.cmi	os/commsfw
/epoc32/data/z/private/101f7988/c32_second.cmi	os/commsfw
/epoc32/data/z/private/101f7988/c32_third.cmi	os/commsfw
/epoc32/data/z/private/101f7988/c32start.ini	os/commsfw
/epoc32/data/z/private/101f7988/esock.cmi	os/commsfw
/epoc32/data/z/private/101f7988/esock_bt.cmi	os/bt
/epoc32/data/z/private/101f7988/esock_dip.cmi	os/commsfw
/epoc32/data/z/private/101f7988/esock_mip.cmi	os/commsfw
/epoc32/data/z/private/101f7988/esock_sip.cmi	mw/ipappprotocols
/epoc32/data/z/private/101f7988/esock_smswap.cmi	os/commsfw
/epoc32/data/z/private/101f7988/esock_tr.cmi	os/commsfw
/epoc32/data/z/private/101f7988/etel.cmi	os/cellularsrv
/epoc32/data/z/private/101f7989/backup_registration.xml	os/commsfw
