ROM file,Host file,Iby file,Package,In/Out,Who,Why
private\10003a3f\apps\msgurlhandler_reg.rsc,/epoc32/data/z/private/10003a3f/apps/msgurlhandler_reg.rsc,msgurlhandler.iby,mw/messagingmw,,,
PRIVATE\10003A3F\IMPORT\APPS\musui_reg.rsc,/epoc32/data/z/private/10003a3f/apps/musui_reg.rsc,core/app/multimediasharing.iby,app/mmsharinguis,,,
private\10003a3f\import\apps\NewContactLauncher_reg.rsc,/epoc32/data/z/private/10003a3f/apps/newcontactlauncher_reg.rsc,core/app/Phonebook2.iby,app/contacts,,,
Private\10003a3f\apps\Notepad_reg.rsc,/epoc32/data/z/private/10003a3f/apps/notepad_reg.rsc,core/app/notepad.iby,app/organizer,,,
Private\10003a3f\import\apps\notviewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/notviewer_reg.rsc,core/app/MmsUi.iby,app/messaging,,,
Private\10003a3f\apps\NpdViewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/npdviewer_reg.rsc,core/app/npdviewer.iby,app/organizer,,,
Private\10003a3f\apps\NSmlDMSync_reg.rsc,/epoc32/data/z/private/10003a3f/apps/nsmldmsync_reg.rsc,core/app/omadmappui.iby,app/devicecontrol,,,
Private\10003a3f\apps\NSmlDSSync_reg.rsc,/epoc32/data/z/private/10003a3f/apps/nsmldssync_reg.rsc,core/app/OmaDsAppUi.iby,app/contentcontrol,,,
private\10003a3f\import\apps\OnlineSupport_reg.RSC,/epoc32/data/z/private/10003a3f/apps/onlinesupport_reg.rsc,core/app/onlinesupport.iby,app/devicecontrol,,,
Private\10003a3f\import\apps\Operatormenu_reg.rsc,/epoc32/data/z/private/10003a3f/apps/operatormenu_reg.rsc,core/app/operatormenu.iby,app/webuis,,,
Private\10003a3f\apps\paintcursor_reg.rsc,/epoc32/data/z/private/10003a3f/apps/paintcursor_reg.rsc,core/mw/btkeyboard.iby,mw/btservices,,,
Private\10003a3f\apps\Pbk2ServerApp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/pbk2serverapp_reg.rsc,core/app/Phonebook2.iby,app/contacts,,,
Private\10003a3f\apps\peninputserver_reg.rsc,/epoc32/data/z/private/10003a3f/apps/peninputserver_reg.rsc,core/mw/peninputarc.iby,mw/inputmethods,,,
Private\10003a3f\apps\peninputsetting_reg.rsc,/epoc32/data/z/private/10003a3f/apps/peninputsetting_reg.rsc,core/mw/peninputarc.iby,mw/inputmethods,,,
Private\10003a3f\import\apps\PerfMon_reg.rsc,/epoc32/data/z/private/10003a3f/apps/perfmon_reg.rsc,core/tools/perfmon.iby,app/rndtools,,,
private\10003a3f\Import\Apps\Phonebook2_reg.rsc,/epoc32/data/z/private/10003a3f/apps/phonebook2_reg.rsc,core/app/Phonebook2.iby,app/contacts,,,
Private\10003a3f\apps\phoneui_reg.rsc,/epoc32/data/z/private/10003a3f/apps/phoneui_reg.rsc,core/app/phoneui.iby,app/phone,,,
private\10003a3f\import\apps\pnpprovisioning_reg.RSC,/epoc32/data/z/private/10003a3f/apps/pnpprovisioning_reg.rsc,core/app/pnp.iby,app/devicecontrol,,,
private\10003a3f\apps\podcast_reg.rsc,/epoc32/data/z/private/10003a3f/apps/podcast_reg.rsc,core/app/podcatcher.iby,app/podcatcher,,,
Private\10003a3f\apps\ProfileApp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/profileapp_reg.rsc,core/app/profile.iby,app/profile,,,
